Region,Soil_Type,Crop,Rainfall_mm,Temperature_Celsius,Fertilizer_Used,Irrigation_Used,Weather_Condition,Days_to_Harvest,Yield_tons_per_hectare
North,Sandy,Barley,840.327546705413,25.550085459006603,False,False,Cloudy,74,5.784866588556421
East,Sandy,Soybean,633.9685050529952,27.247155403017853,False,True,Rainy,91,4.565824236795296
North,Silt,Barley,544.3268104352021,39.30978125289353,False,True,Sunny,86,5.426548067556215
West,Loam,Wheat,120.9299804353778,30.050146737493804,False,False,Rainy,120,1.6880349844554816
North,Peaty,Maize,715.4398774527762,29.33754238695858,False,True,Cloudy,123,5.901359308385229
West,Loam,Maize,574.1241784512686,21.28338056648763,False,False,Cloudy,141,3.301090192340067
South,Loam,Cotton,726.8037997671584,35.8162542172566,False,True,Rainy,108,5.837326907377466
North,Chalky,Soybean,152.65184671786903,37.19984188527639,True,False,Rainy,74,3.523090600803615
North,Silt,Cotton,545.2329366104213,29.38023229405603,True,True,Rainy,124,6.214437301674706
West,Sandy,Rice,998.829853080122,32.08833197979556,True,True,Cloudy,78,7.796933757406827
West,Silt,Rice,171.24063988549796,25.058026601379176,True,False,Rainy,148,2.381611031279788
South,Silt,Wheat,460.1396970377276,29.693111507437685,False,True,Sunny,107,3.402905116832521
North,Clay,Soybean,232.31927227233996,33.47824516689653,False,True,Cloudy,87,2.039406737401685
West,Chalky,Wheat,560.0956027649265,21.31779152545869,True,False,Sunny,92,5.337543126242684
East,Loam,Maize,729.5088274748391,16.91713778363981,True,False,Cloudy,78,5.081341532496862
East,Loam,Wheat,123.10787341651672,33.015489308119555,False,False,Sunny,120,0.963610107772784
South,Chalky,Cotton,130.1826623036819,16.57051025584894,True,True,Cloudy,85,3.037990510116608
West,Clay,Soybean,228.5417550619698,36.79110822833576,True,True,Rainy,69,4.468618932413422
East,Clay,Barley,407.6374506540061,19.428127532025613,True,False,Cloudy,110,3.972713069517349
West,Silt,Barley,445.47095307991503,34.93241364395448,True,False,Cloudy,75,4.527774826635319
East,Peaty,Barley,976.8821355493308,36.128653296666485,True,False,Cloudy,114,6.314998020766189
East,Sandy,Wheat,286.67528133774,21.356501510840765,True,False,Sunny,122,3.029524840012991
West,Silt,Wheat,898.9036296059377,39.75999274128476,False,False,Sunny,124,4.862288507076255
South,Chalky,Soybean,538.4330785832385,22.171260696561728,False,True,Sunny,70,4.069034627893428
East,Clay,Cotton,920.6448505412892,30.19119125183957,True,False,Cloudy,67,6.082675637067038
East,Peaty,Maize,244.18038079938876,31.1135946405448,True,True,Sunny,139,4.795400370034019
South,Loam,Barley,718.4938769340188,19.389626759446635,False,False,Rainy,125,3.970593423581568
North,Chalky,Maize,957.5794339780012,18.566297037494586,False,False,Sunny,95,4.6117388017033125
East,Silt,Maize,379.9244139568012,36.44975082991535,True,True,Sunny,138,4.608141276660078
North,Clay,Rice,295.1259695909939,38.35534593334924,False,False,Rainy,123,2.191545068579505
South,Chalky,Rice,198.9974754039178,20.78156420676862,False,True,Rainy,61,2.1894577613138653
West,Clay,Soybean,554.703085369168,17.175713853977573,False,False,Cloudy,80,2.654599623665204
South,Clay,Barley,268.4378062529877,20.353218031858752,False,True,Cloudy,113,3.6568167125501017
West,Chalky,Cotton,143.4523299444081,35.58699565093008,True,False,Rainy,88,2.597517859038165
South,Clay,Wheat,378.5173493677207,29.507904985616364,True,True,Cloudy,145,4.594420466587748
South,Silt,Wheat,309.0803850918537,17.573278814724528,False,True,Rainy,90,3.244244879183656
East,Clay,Soybean,638.4056315433448,31.32303664755416,True,True,Cloudy,88,6.728611905004248
East,Loam,Wheat,891.8693682771153,21.651117742185438,True,True,Sunny,123,8.081217707188998
East,Peaty,Wheat,913.1891840498512,38.7599899616601,True,False,Sunny,91,8.115067917513972
North,Clay,Maize,172.67947660579875,34.30465296935123,True,True,Sunny,97,4.549008235159794
East,Sandy,Maize,848.3118032394789,22.07550510948118,True,False,Cloudy,142,5.718867681669975
West,Chalky,Barley,779.5959160783768,37.38213443492724,True,True,Rainy,117,6.845438762940925
East,Loam,Rice,817.364009368656,32.11396627468756,False,False,Sunny,83,4.361648156528522
South,Loam,Cotton,446.2648736377425,26.97165408143382,False,True,Cloudy,78,3.612755775937496
North,Silt,Maize,921.2318674637944,32.765272379053535,True,True,Cloudy,91,7.9059084667641795
East,Peaty,Maize,276.4984888940652,22.237862427493912,False,True,Cloudy,65,3.009459568672554
South,Loam,Maize,201.35505146215348,34.63174384481188,True,False,Rainy,118,3.123813468847325
East,Silt,Cotton,335.75595698174175,18.25412460384389,True,True,Sunny,136,4.667596422577103
South,Sandy,Barley,263.162441078208,18.31124061302196,False,True,Cloudy,107,2.8101609070198745
East,Sandy,Rice,371.8494829176833,26.15867837452098,True,False,Sunny,65,4.39631653879535
North,Loam,Rice,264.8198461042776,39.69116044941418,True,False,Sunny,129,3.548608975554361
East,Peaty,Barley,828.8896267892034,18.593218711376096,True,False,Sunny,147,6.593110382148841
East,Sandy,Soybean,955.6981909176212,35.75799396848662,True,False,Sunny,106,7.747353138035627
East,Chalky,Wheat,890.4769344141578,29.27451416336088,True,True,Rainy,139,6.924817034723612
East,Chalky,Cotton,529.1507228078149,25.47326917922864,False,False,Sunny,123,2.966182685500732
North,Clay,Barley,287.9937011040312,27.95084654734536,True,False,Cloudy,149,3.849295808178845
West,Peaty,Soybean,316.50997147493183,26.367185835355,True,False,Cloudy,111,3.242897747258244
East,Chalky,Wheat,904.7693688555112,19.652782865859542,False,False,Sunny,107,4.980655018748638
North,Loam,Rice,962.523329849055,23.650929638043596,True,True,Cloudy,71,7.778556219218265
East,Silt,Rice,555.3579648445657,31.555737526500742,True,False,Sunny,139,5.023615294194955
North,Loam,Soybean,620.5091728441294,19.61321908512401,True,False,Rainy,135,5.075209073097867
West,Loam,Rice,935.1712913464723,28.306926294858137,True,True,Cloudy,124,8.756378461256983
North,Loam,Wheat,139.87255920083197,27.382750792993967,False,True,Sunny,107,1.80140917033146
North,Chalky,Rice,975.6892014591192,16.169079039792663,False,True,Rainy,100,6.226204704755545
North,Silt,Wheat,211.45492491737213,39.27499328058768,True,True,Rainy,107,5.034048472727594
East,Loam,Barley,489.5213828102807,31.02818855317778,False,False,Rainy,104,3.606425487633065
North,Clay,Barley,224.38718079401,19.20109694532423,False,False,Sunny,119,1.233188528222847
East,Silt,Maize,421.04151192502775,21.11518172416824,False,False,Sunny,84,1.980543686610778
East,Loam,Rice,838.4034293147143,36.78663693052209,False,True,Cloudy,64,5.522702726537903
East,Clay,Cotton,768.287415907209,18.830833115959862,False,True,Cloudy,92,5.64155068169409
North,Sandy,Cotton,591.5452775964807,39.57254166660779,False,True,Sunny,132,4.177665310147225
East,Loam,Cotton,837.3730970393414,34.04459836686313,True,True,Sunny,107,6.962906795196355
West,Sandy,Barley,722.8134523452187,35.91173760020859,False,False,Cloudy,127,3.4354940907764986
West,Chalky,Rice,913.8015480264864,38.34384865593246,False,True,Rainy,121,6.449703745256087
North,Sandy,Soybean,290.0481202179127,28.69376702079566,False,True,Rainy,105,2.3743098939334546
South,Loam,Rice,568.0064749122962,19.863037249421037,True,False,Cloudy,142,4.959578862165259
North,Loam,Barley,100.868241162451,23.95651866567659,True,False,Rainy,119,1.5348872941052196
East,Silt,Wheat,332.0054455177928,34.6829056632151,True,True,Sunny,121,4.857623857837123
North,Clay,Rice,401.55908809218073,39.89759514618192,False,False,Sunny,91,3.143582431695693
North,Loam,Rice,999.71076408622,17.631432987391594,True,False,Rainy,121,7.290749363777739
West,Peaty,Soybean,763.6320734652509,39.33535558597802,True,True,Sunny,62,7.84872509679212
South,Silt,Cotton,792.3182964077297,16.95480848030239,True,False,Cloudy,92,6.460765112583272
South,Loam,Barley,608.696601917411,21.21214004272278,True,True,Rainy,144,6.84125918241988
South,Chalky,Rice,500.1856314501803,16.311991449238455,True,True,Sunny,76,4.90524513973253
West,Chalky,Soybean,381.5563186007138,37.63068149080696,True,False,Rainy,100,4.072825386281761
North,Chalky,Maize,847.1283671404836,31.06071993361898,True,True,Cloudy,71,7.18453201706905
North,Sandy,Wheat,368.7973989730958,33.75485167385216,True,True,Rainy,73,4.826258941704593
East,Sandy,Soybean,772.5631794818858,38.950736829165294,True,True,Sunny,65,7.204002044883925
East,Peaty,Rice,270.07255365748586,18.61092949298269,False,True,Rainy,148,2.981416051008328
East,Chalky,Cotton,540.5140710061191,17.483449569712857,False,False,Sunny,145,2.400996481964529
North,Loam,Rice,713.726889287432,24.80024183189777,True,False,Rainy,75,5.616646552826129
North,Chalky,Rice,150.11298124195105,17.836486356138423,False,False,Sunny,139,1.6085707551366974
South,Silt,Rice,285.89317648029817,39.14134341006091,True,False,Rainy,105,3.542534534126069
North,Loam,Maize,519.4078468195265,34.279527446822804,False,False,Cloudy,134,3.7825486288422505
West,Chalky,Barley,457.6641668419504,25.85137132618474,True,False,Cloudy,79,3.737823606386597
West,Silt,Wheat,698.0222846563971,35.30613511473619,False,True,Sunny,98,6.396249120713619
North,Chalky,Soybean,958.726773933654,27.6158926106616,True,True,Cloudy,127,8.197110339379098
North,Loam,Soybean,480.73165106518553,18.915587505815346,False,True,Sunny,139,4.068412856173703
East,Silt,Rice,920.8861093392152,32.56409825999709,True,False,Cloudy,123,7.471433331222656
North,Sandy,Wheat,256.61242795251985,35.06326116258455,False,False,Cloudy,117,1.3787181775265225
South,Clay,Rice,980.3937802540304,39.98639892193677,False,False,Rainy,110,6.488138508530772
West,Sandy,Rice,871.8322617829912,19.624695875690044,False,False,Sunny,83,4.036120904241261
West,Sandy,Cotton,874.4589421144736,17.473953838664034,False,True,Rainy,111,5.192871244432968
South,Sandy,Soybean,115.81312036082548,23.104402902335124,True,False,Rainy,126,2.6734284320922543
West,Clay,Soybean,428.1795343117783,18.644289374161787,False,True,Rainy,122,4.054340466484818
South,Silt,Cotton,193.66600431591843,35.43082061537408,True,True,Cloudy,70,4.1438959003651
West,Loam,Cotton,848.8378000152667,20.241991327801813,False,False,Sunny,60,4.414983342185601
West,Chalky,Wheat,944.9266900382552,33.32118962412631,False,False,Cloudy,107,4.725824928038919
West,Peaty,Cotton,138.22789200995965,32.60030148723747,True,False,Rainy,97,2.3915512121984728
North,Chalky,Maize,684.626098078987,21.4375487252469,True,True,Rainy,149,6.878226618931957
West,Silt,Rice,558.4529463986614,23.359059184807546,True,True,Sunny,114,5.492824247864991
West,Clay,Wheat,959.4383434499268,29.993390204731035,False,True,Sunny,68,5.566231912349769
West,Loam,Soybean,689.9482680132936,26.76737807435605,False,False,Cloudy,123,5.032683524115816
West,Sandy,Soybean,296.9446070508551,20.84856629457162,False,True,Cloudy,104,3.545960850750421
West,Loam,Soybean,940.4499124743596,16.89917434367246,True,True,Rainy,134,8.353247000187524
West,Chalky,Soybean,857.959277059315,22.90651246802564,False,True,Sunny,132,6.416974602826261
West,Silt,Cotton,561.2549016890091,26.52178405513922,False,True,Sunny,71,3.793122731831114
East,Clay,Cotton,291.0597878465719,27.54334717999272,True,False,Sunny,89,3.127944244175177
West,Sandy,Cotton,521.3958710765266,33.943496435155915,True,False,Rainy,89,4.205281275053324
West,Chalky,Cotton,868.2075935649422,26.251687060494017,True,True,Cloudy,109,7.644415323312192
North,Sandy,Maize,895.4833788532534,37.58814806521073,False,False,Cloudy,87,5.192723446995107
South,Loam,Soybean,686.33494370035,16.18348842153526,True,True,Cloudy,98,7.009110939315758
West,Sandy,Soybean,202.02535562289245,32.99235265658892,True,True,Rainy,118,3.895111806992535
North,Silt,Barley,714.0321767197747,19.386155030790203,False,False,Sunny,134,3.944757103203696
West,Sandy,Wheat,492.0080762603047,18.922989310052717,False,True,Sunny,78,3.8975206047035567
East,Silt,Soybean,400.3230974342324,23.48181747031551,True,False,Rainy,66,4.134081101086732
North,Loam,Maize,240.4259879317173,30.85929479812929,False,True,Cloudy,85,2.911114604930333
North,Peaty,Maize,333.8543644578825,16.43552906779169,False,False,Rainy,116,2.441838022545749
East,Clay,Maize,131.9173661051033,18.66027765590829,False,True,Sunny,75,2.860842025124352
East,Clay,Barley,455.50484612844485,26.39005550019624,False,False,Rainy,68,3.06782468312561
North,Chalky,Barley,952.951173508663,29.826929227562232,False,True,Cloudy,81,6.402277166402205
North,Sandy,Rice,671.1764193790139,28.89241160891368,False,True,Cloudy,67,5.819994858153301
West,Loam,Wheat,141.13158338266615,26.365188733191903,False,False,Sunny,102,2.000733715231138
North,Chalky,Maize,898.5151680812982,32.11584332023765,True,False,Rainy,113,6.6530959442109525
South,Peaty,Wheat,399.6124520953773,29.01001046730798,False,False,Rainy,90,2.5552869337549526
North,Clay,Maize,951.458083853234,17.106181695787214,True,False,Sunny,77,7.028116425465592
North,Peaty,Rice,801.6692328474744,22.482633430975387,False,False,Cloudy,66,4.402944767697806
North,Sandy,Cotton,558.667358932672,39.48640084871735,True,False,Cloudy,115,5.712458062522009
West,Sandy,Barley,736.1785939653736,21.31156997643638,True,True,Sunny,102,6.37659234408124
North,Peaty,Maize,218.07939919503,22.047425558944116,False,False,Sunny,108,1.98911690442306
West,Clay,Wheat,438.62017089731415,24.359514317256448,True,True,Cloudy,103,5.675834399176382
West,Clay,Soybean,828.3324232218328,17.297597774525737,False,False,Sunny,137,4.133175836111434
North,Chalky,Wheat,897.6261642016381,21.58147922945052,True,True,Cloudy,111,8.533364528715271
North,Chalky,Maize,224.96905678864997,23.3398415190793,False,False,Cloudy,148,1.7442387185676824
East,Peaty,Maize,489.5327565445226,21.31657540840786,True,True,Sunny,119,5.260200449231147
South,Peaty,Barley,947.4859521580406,35.26565409580022,False,True,Rainy,118,6.297920528914752
East,Clay,Barley,695.3280893490021,35.73329034227035,True,True,Sunny,100,7.660427205120707
East,Sandy,Barley,794.334562470983,20.79943949574063,False,False,Sunny,133,4.877500892620986
North,Chalky,Rice,886.1452663582442,21.81536014722985,False,True,Cloudy,131,5.723407898739913
East,Silt,Barley,126.6313334042576,26.480314379103326,True,True,Rainy,136,4.922191452999591
West,Loam,Maize,765.1472733632904,20.451269985324263,False,False,Cloudy,94,4.275503976937199
South,Sandy,Maize,755.3974255343608,39.81948528670561,False,False,Sunny,87,4.792048914196743
South,Clay,Cotton,109.92046342408544,18.25121567235795,False,True,Rainy,68,2.7538743071101743
West,Sandy,Rice,654.650999848315,25.52403565260017,False,False,Sunny,60,3.846726834543904
South,Silt,Cotton,669.3581247525249,28.120569500656607,True,True,Sunny,66,6.993392878653471
South,Peaty,Soybean,103.0846366294358,35.044090451966255,False,False,Sunny,129,1.7736801299516696
South,Chalky,Wheat,503.1055950168664,15.92236398864336,True,False,Cloudy,106,4.287683057754508
West,Loam,Cotton,945.2944947255808,16.05416332265721,False,False,Rainy,78,4.876502286405266
West,Sandy,Wheat,834.8964356005661,24.67404852965152,False,True,Sunny,67,5.96272654031689
North,Sandy,Soybean,634.128158187749,15.295915304285629,False,True,Cloudy,143,5.33472388984767
East,Chalky,Rice,698.0706557824658,28.52571577470721,True,True,Rainy,145,6.111644532693965
South,Peaty,Rice,840.348691998937,18.301857394260573,False,False,Cloudy,138,4.502477155855587
North,Peaty,Soybean,832.0999620714525,30.613333837006728,True,False,Rainy,93,6.258779698011417
South,Chalky,Soybean,340.3047838816952,15.645214104067083,False,False,Sunny,140,2.1928624027736703
West,Chalky,Cotton,357.30376354733994,37.85544760618663,True,False,Rainy,127,4.467701531254613
South,Loam,Cotton,676.8994930629663,15.528452387916092,True,True,Sunny,144,5.384582748024554
East,Silt,Rice,702.2357444134399,25.147694461185687,True,False,Sunny,98,6.410983482633071
West,Chalky,Maize,999.2482794328872,16.123542601164758,True,True,Rainy,95,7.552852011219493
South,Chalky,Maize,531.1977296189473,29.002077659040605,False,True,Rainy,121,4.244382145716321
West,Chalky,Soybean,562.70923056689,28.102225929365943,True,False,Cloudy,119,5.441386945711366
North,Clay,Wheat,226.4733925413157,35.124415792391275,False,True,Cloudy,129,1.7893476000046256
South,Silt,Barley,873.0638578061091,16.654299004697066,False,True,Rainy,115,5.330814316804465
North,Sandy,Barley,908.0905521932242,19.314666702425217,False,False,Rainy,129,4.015013323121942
West,Clay,Maize,381.1813247824507,20.48813991157584,False,False,Rainy,87,1.6061347248602695
North,Chalky,Cotton,802.3297082705241,33.29702054756544,False,True,Rainy,123,6.215990841089891
South,Clay,Rice,742.0506724008984,18.024149984892556,True,False,Sunny,61,5.588404033046174
South,Loam,Barley,316.9098434232571,24.32706834380846,True,True,Cloudy,141,5.269979649344774
East,Sandy,Barley,709.2093938100321,15.955861974497951,False,False,Cloudy,95,3.870756582325032
West,Silt,Soybean,940.0240385825538,34.5220149543087,False,True,Rainy,93,6.014618041729775
North,Clay,Barley,675.0864062079002,15.31628932993906,False,True,Cloudy,133,5.139520579159147
South,Loam,Soybean,855.267629279878,31.53819994235394,False,False,Sunny,86,5.2668708250952
East,Loam,Cotton,654.8552560956562,24.66473630907163,False,True,Cloudy,140,4.492886848411707
West,Silt,Rice,308.9171530987963,25.47851235517131,False,False,Rainy,104,1.197210239079158
West,Silt,Rice,565.6448419827598,33.20021233134777,False,True,Cloudy,102,5.295784668107209
North,Silt,Barley,667.2162873113192,35.10401014177739,False,False,Sunny,123,4.102545465200507
South,Clay,Maize,939.671924782558,28.48602292782537,True,False,Sunny,69,7.12907621192047
South,Chalky,Rice,842.4021666121981,21.485726379331226,False,True,Rainy,136,5.664968223254784
West,Loam,Maize,546.6239342187481,27.005961367612333,True,True,Sunny,144,5.362836833745778
North,Silt,Barley,330.0297356847102,24.25382187521945,True,True,Sunny,73,4.926448444080739
South,Chalky,Maize,208.86034752632597,25.410387668945937,False,False,Sunny,80,0.8249729723219437
East,Chalky,Soybean,162.5518340872468,21.811631120329963,True,False,Rainy,83,3.226608261035904
East,Silt,Maize,522.1616621340456,28.830886488763937,False,True,Rainy,62,4.241044494808188
West,Loam,Soybean,324.1123264997539,23.677920042610204,False,True,Cloudy,116,3.057409657294273
South,Loam,Soybean,798.3177198164803,18.19321032740501,True,True,Sunny,106,6.9030366481067205
South,Sandy,Cotton,763.9992122707283,16.18537312753434,True,False,Rainy,126,5.335404597009071
East,Loam,Soybean,755.1715091674135,33.78828036553247,True,True,Cloudy,80,7.240917433468874
East,Silt,Maize,465.6170836154064,23.692953516043566,True,True,Cloudy,79,4.767974354327606
West,Sandy,Cotton,334.9888351539719,29.390691133255068,True,False,Sunny,139,4.242864380815865
South,Clay,Soybean,454.14384186850185,15.966323556888792,False,False,Cloudy,131,1.5819618715043609
East,Clay,Barley,741.0863075228871,36.82657115109802,False,False,Cloudy,134,5.347792368696682
West,Peaty,Rice,882.039371426722,21.074409398604537,True,False,Cloudy,142,6.7414588291040936
West,Loam,Barley,321.6178779271322,32.2897742954616,True,False,Cloudy,143,3.731177221074797
East,Sandy,Rice,899.7495378413623,24.7942437144396,False,True,Cloudy,128,5.603217078616146
North,Sandy,Wheat,603.7144745779754,33.77177180594259,True,False,Rainy,149,5.495307547357334
West,Loam,Maize,626.0607520160545,39.90016556656092,False,True,Cloudy,70,4.499049813296492
West,Sandy,Rice,278.28445621933975,15.39079502664723,True,False,Sunny,99,2.7925494466077336
East,Chalky,Rice,371.8768808753895,27.83345118635788,True,False,Cloudy,66,4.067287450681368
West,Clay,Maize,893.9386502446263,20.776734724566666,False,False,Cloudy,108,4.223898267186726
East,Sandy,Cotton,159.32956338908247,21.07439076695153,True,False,Rainy,61,2.894141724998993
East,Chalky,Soybean,114.1550476693259,24.68304085524527,False,False,Cloudy,116,1.3342580069050485
East,Peaty,Cotton,238.8964338171133,28.421267413177247,False,True,Sunny,67,2.7029355766364045
West,Loam,Barley,485.30372414766,39.255987761273175,False,True,Cloudy,144,4.482831074536824
North,Loam,Wheat,988.4987868169292,36.54476388943068,False,True,Sunny,139,5.864971091913506
West,Loam,Soybean,167.9835241874033,33.60268220313702,True,False,Sunny,126,2.790730903017664
West,Sandy,Soybean,578.7334369423149,24.82649103740377,True,True,Sunny,100,6.366147451021805
West,Peaty,Soybean,135.4474144592819,31.48490834050919,True,True,Cloudy,61,3.966036085920565
North,Loam,Soybean,133.94048154906784,15.207059352435158,True,False,Rainy,115,2.1672247463245213
West,Chalky,Cotton,954.5483400894984,19.86217091451179,True,True,Cloudy,96,7.085793943617851
South,Silt,Soybean,561.6215177551553,18.319640786843596,True,True,Rainy,63,6.684270597647112
South,Sandy,Cotton,170.81657060313546,34.24465460079982,True,False,Rainy,74,1.989950911176663
East,Peaty,Wheat,437.3068226820072,38.3987157809916,False,False,Sunny,130,3.0213941775653024
North,Chalky,Barley,657.7706839164575,31.40642463545769,True,True,Rainy,91,7.603914704545229
South,Chalky,Cotton,750.1399742242705,23.3748721018029,False,False,Cloudy,90,4.200145929887664
East,Chalky,Wheat,439.0764156240366,20.77033046264205,True,True,Cloudy,86,4.641204975048649
North,Loam,Maize,415.69713523394137,20.87010135312243,False,False,Cloudy,79,1.6768547648151042
North,Clay,Barley,577.1899088209927,30.810062862460107,False,False,Sunny,138,3.135794707672699
East,Clay,Soybean,954.544147946596,16.709554089323845,False,False,Rainy,108,4.699988531696346
North,Sandy,Cotton,894.1196600726379,21.655656440463748,True,True,Rainy,86,7.232016900121745
West,Chalky,Maize,726.5077825743965,20.86077468887797,True,False,Cloudy,71,4.764918343949457
West,Silt,Maize,836.9215442415109,16.622584250719424,True,True,Sunny,134,7.618598472198419
West,Clay,Maize,917.2686707265308,24.48118719233099,True,True,Sunny,120,7.980077573580475
East,Loam,Wheat,681.0223820744457,17.21254674491935,True,False,Rainy,112,5.967221801881287
West,Clay,Cotton,513.8806873220296,21.11243905706138,True,False,Cloudy,119,4.248338263104884
West,Peaty,Soybean,927.876977760424,30.558214397475947,True,True,Sunny,68,7.295184547044404
North,Chalky,Wheat,974.0209793732386,26.88134644819428,False,False,Sunny,70,6.26114081312958
North,Sandy,Rice,679.1051638254845,30.650487892327757,True,True,Sunny,142,6.27582046430579
West,Loam,Cotton,414.6851163779156,33.455613232742046,True,True,Sunny,107,6.3303582487766406
West,Loam,Maize,486.8455474664053,22.30393171631858,True,False,Sunny,123,5.18155626951981
West,Sandy,Wheat,295.189199186045,16.53933687225872,False,False,Sunny,115,1.8743636203049816
South,Chalky,Soybean,654.7487304458652,33.4325881453381,False,False,Sunny,84,3.8897396271252056
